Date,Month,Year,Flow,NH3
1/1/2000,1,2000,7.51,
1/2/2000,1,2000,7.78,
1/3/2000,1,2000,7.97,
1/4/2000,1,2000,8.23,
1/5/2000,1,2000,8.29,
1/6/2000,1,2000,8.28,
1/7/2000,1,2000,8.24,23
1/8/2000,1,2000,8.29,
1/9/2000,1,2000,8.62,
1/10/2000,1,2000,8.58,
1/11/2000,1,2000,8.43,
1/12/2000,1,2000,8.54,
1/13/2000,1,2000,9.3,
1/14/2000,1,2000,8.31,
1/15/2000,1,2000,8.25,
1/16/2000,1,2000,8.22,
1/17/2000,1,2000,8.62,
1/18/2000,1,2000,9.09,
1/19/2000,1,2000,9.18,
1/20/2000,1,2000,8.32,
1/21/2000,1,2000,7.71,
1/22/2000,1,2000,8.29,
1/23/2000,1,2000,8.37,
1/24/2000,1,2000,10.81,
1/25/2000,1,2000,12.73,
1/26/2000,1,2000,12.93,
1/27/2000,1,2000,12.09,
1/28/2000,1,2000,12.94,
1/29/2000,1,2000,12.95,
1/30/2000,1,2000,10.13,
1/31/2000,1,2000,5.95,
4/1/2000,4,2000,13.19,
4/2/2000,4,2000,9.6,
4/3/2000,4,2000,10.18,
4/4/2000,4,2000,11.5,
4/5/2000,4,2000,10.79,
4/7/2000,4,2000,9.81,
4/8/2000,4,2000,9.48,
4/9/2000,4,2000,9.84,
4/10/2000,4,2000,10.13,
4/11/2000,4,2000,11,
4/12/2000,4,2000,11.83,
4/13/2000,4,2000,11.66,
4/14/2000,4,2000,11.26,
4/15/2000,4,2000,10.58,
4/16/2000,4,2000,11.73,
4/17/2000,4,2000,13.27,
4/18/2000,4,2000,13.16,
4/19/2000,4,2000,13.28,
4/20/2000,4,2000,13.58,
4/21/2000,4,2000,13.8,
4/22/2000,4,2000,13.28,
4/23/2000,4,2000,13.12,
6/1/2000,6,2000,0,
6/2/2000,6,2000,0,
6/3/2000,6,2000,0,
6/4/2000,6,2000,0,
6/5/2000,6,2000,0,
6/6/2000,6,2000,0,
6/7/2000,6,2000,0,
6/8/2000,6,2000,0,
6/9/2000,6,2000,0,
6/10/2000,6,2000,0,
6/11/2000,6,2000,0,
6/12/2000,6,2000,0,
6/13/2000,6,2000,1.33,
6/14/2000,6,2000,2.97,
6/15/2000,6,2000,3.4,
6/16/2000,6,2000,3.44,
6/17/2000,6,2000,3.46,
6/18/2000,6,2000,3.96,
6/19/2000,6,2000,3.35,
6/20/2000,6,2000,3.15,
6/21/2000,6,2000,4.2,
6/22/2000,6,2000,3.91,
6/23/2000,6,2000,3.87,
8/1/2000,8,2000,6.56,
8/2/2000,8,2000,3.21,
8/3/2000,8,2000,4.29,
8/4/2000,8,2000,4.5,
8/5/2000,8,2000,4.96,
8/6/2000,8,2000,5.34,
8/7/2000,8,2000,0.93,
8/8/2000,8,2000,4.32,
8/9/2000,8,2000,4.49,
8/10/2000,8,2000,5.02,
8/11/2000,8,2000,5.78,
8/12/2000,8,2000,5.94,
8/13/2000,8,2000,6.02,
8/14/2000,8,2000,5.38,
8/15/2000,8,2000,4.96,
8/16/2000,8,2000,4.72,
8/17/2000,8,2000,4.58,
8/18/2000,8,2000,1.71,
8/19/2000,8,2000,5.65,
8/20/2000,8,2000,5.52,
8/21/2000,8,2000,3.89,
8/22/2000,8,2000,4.64,
8/23/2000,8,2000,5.08,
8/24/2000,8,2000,5.39,
11/1/2000,11,2000,5.73,
11/2/2000,11,2000,16.45,
11/3/2000,11,2000,15.52,
11/4/2000,11,2000,14.53,
11/5/2000,11,2000,14.56,
11/6/2000,11,2000,14.48,
11/7/2000,11,2000,13.34,
11/8/2000,11,2000,10.41,
11/9/2000,11,2000,12.48,
11/10/2000,11,2000,11.8,
11/11/2000,11,2000,11.76,
11/12/2000,11,2000,11.66,
11/13/2000,11,2000,11.93,
11/14/2000,11,2000,10.06,
11/15/2000,11,2000,12.55,
11/16/2000,11,2000,12.14,
11/17/2000,11,2000,7.28,
11/18/2000,11,2000,12.45,
11/19/2000,11,2000,12.45,
11/20/2000,11,2000,12.33,
11/21/2000,11,2000,12.33,
11/22/2000,11,2000,11.84,
11/23/2000,11,2000,11.82,
11/24/2000,11,2000,12.21,
11/25/2000,11,2000,9.93,
11/26/2000,11,2000,7.17,
11/27/2000,11,2000,10.33,
11/28/2000,11,2000,10.32,
11/29/2000,11,2000,10,
11/30/2000,11,2000,11.89,
12/1/2000,12,2000,18.63,
12/2/2000,12,2000,18.37,
12/3/2000,12,2000,18.28,
12/4/2000,12,2000,18.24,
12/5/2000,12,2000,18.47,
12/6/2000,12,2000,18.76,
12/7/2000,12,2000,18.71,
12/8/2000,12,2000,18.68,
12/9/2000,12,2000,18.4,
12/10/2000,12,2000,14.3,
12/11/2000,12,2000,12.4,
12/12/2000,12,2000,11.52,
12/13/2000,12,2000,12.11,
12/14/2000,12,2000,11.47,
12/15/2000,12,2000,11.4,
12/16/2000,12,2000,11.36,
12/17/2000,12,2000,11.27,
12/18/2000,12,2000,11.09,
12/19/2000,12,2000,11.54,
12/20/2000,12,2000,5.62,
12/21/2000,12,2000,8.48,
12/22/2000,12,2000,14.07,
12/23/2000,12,2000,15.89,
12/24/2000,12,2000,15.92,
12/25/2000,12,2000,15.85,
12/26/2000,12,2000,15.8,
12/27/2000,12,2000,15.7,
12/28/2000,12,2000,7.89,
12/29/2000,12,2000,15.74,
12/30/2000,12,2000,15.53,
12/31/2000,12,2000,15.36,
1/1/2001,1,2001,15.06,
1/2/2001,1,2001,15.36,
1/3/2001,1,2001,15.74,
1/4/2001,1,2001,15.97,
1/5/2001,1,2001,16.03,
1/6/2001,1,2001,15.45,
1/7/2001,1,2001,15.23,
1/8/2001,1,2001,15.4,
1/9/2001,1,2001,10.99,
1/10/2001,1,2001,6.06,
1/11/2001,1,2001,5.19,
1/12/2001,1,2001,11.02,
1/13/2001,1,2001,11.11,
1/14/2001,1,2001,11.62,
1/15/2001,1,2001,11.21,
1/16/2001,1,2001,10.25,
1/17/2001,1,2001,11.45,
1/18/2001,1,2001,11.46,
1/19/2001,1,2001,11.46,
1/20/2001,1,2001,11.29,
1/21/2001,1,2001,11.38,
1/22/2001,1,2001,3.01,
1/23/2001,1,2001,0,
1/24/2001,1,2001,0,
1/25/2001,1,2001,0,
1/26/2001,1,2001,0,
1/27/2001,1,2001,0,
1/28/2001,1,2001,0.5,
1/29/2001,1,2001,16.72,
1/30/2001,1,2001,16.69,
1/31/2001,1,2001,15.99,
2/1/2001,2,2001,15,
2/2/2001,2,2001,16.75,
2/3/2001,2,2001,16.87,
2/4/2001,2,2001,16.85,
2/5/2001,2,2001,16.7,
2/6/2001,2,2001,16.96,
2/7/2001,2,2001,17.19,
2/8/2001,2,2001,17.19,
2/9/2001,2,2001,17.18,
2/10/2001,2,2001,14.45,
2/11/2001,2,2001,17.06,
2/12/2001,2,2001,17.22,
2/13/2001,2,2001,17.25,
2/14/2001,2,2001,17.25,
2/15/2001,2,2001,17.46,
2/16/2001,2,2001,17.79,
2/17/2001,2,2001,17.78,
2/18/2001,2,2001,17.84,
2/19/2001,2,2001,17.93,
2/20/2001,2,2001,18.35,
2/21/2001,2,2001,18.86,
2/22/2001,2,2001,18.9,
2/23/2001,2,2001,20,
2/24/2001,2,2001,21.03,
2/25/2001,2,2001,21.39,
2/26/2001,2,2001,21.18,
2/27/2001,2,2001,17.59,
2/28/2001,2,2001,21.06,
3/1/2001,3,2001,21.11,
3/2/2001,3,2001,21.41,
3/3/2001,3,2001,21.43,
3/4/2001,3,2001,21.29,
3/5/2001,3,2001,21.21,
3/6/2001,3,2001,21.26,
3/7/2001,3,2001,20.74,
3/8/2001,3,2001,21.13,
3/9/2001,3,2001,21.06,
3/10/2001,3,2001,21.01,
3/11/2001,3,2001,20.94,
3/12/2001,3,2001,20.85,
3/13/2001,3,2001,20.83,
3/14/2001,3,2001,18.9,
3/15/2001,3,2001,12.84,
3/16/2001,3,2001,12.68,
3/17/2001,3,2001,12.65,
3/18/2001,3,2001,12.63,
3/19/2001,3,2001,12.69,
3/20/2001,3,2001,12.27,
3/21/2001,3,2001,12.81,
3/22/2001,3,2001,11.98,
3/23/2001,3,2001,9.1,
3/24/2001,3,2001,10.03,
3/25/2001,3,2001,9.27,
3/26/2001,3,2001,9.25,
3/27/2001,3,2001,10.02,
3/28/2001,3,2001,10.15,
3/29/2001,3,2001,10.93,
3/30/2001,3,2001,11.12,
3/31/2001,3,2001,11.47,
4/1/2001,4,2001,10.76,
4/2/2001,4,2001,12.07,
4/3/2001,4,2001,15.13,
4/4/2001,4,2001,16.25,
4/5/2001,4,2001,15.5,
4/6/2001,4,2001,14.07,
4/7/2001,4,2001,14.03,
4/8/2001,4,2001,14.88,
4/9/2001,4,2001,14.97,
4/10/2001,4,2001,9.85,
4/11/2001,4,2001,13.79,
4/12/2001,4,2001,12.33,
4/13/2001,4,2001,13.47,
4/14/2001,4,2001,13.57,
4/15/2001,4,2001,13.58,
4/16/2001,4,2001,13.88,
4/17/2001,4,2001,13.65,
4/18/2001,4,2001,13.98,
4/19/2001,4,2001,13.26,
4/20/2001,4,2001,13.33,
4/21/2001,4,2001,13.19,
4/22/2001,4,2001,13.07,
4/23/2001,4,2001,15.42,
4/24/2001,4,2001,15.23,
4/25/2001,4,2001,11.04,
4/26/2001,4,2001,10.97,
4/27/2001,4,2001,11.29,
4/28/2001,4,2001,11.19,
4/29/2001,4,2001,11.48,
4/30/2001,4,2001,11.26,
9/7/2001,9,2001,2.48,20
9/8/2001,9,2001,2.81,
9/9/2001,9,2001,8.06,
9/10/2001,9,2001,7.95,
9/11/2001,9,2001,8.33,8
9/12/2001,9,2001,5.07,7
9/13/2001,9,2001,3.2,17
9/14/2001,9,2001,6.62,15
9/15/2001,9,2001,8.57,5
9/16/2001,9,2001,8.42,
9/17/2001,9,2001,9.63,
9/18/2001,9,2001,10.13,
9/19/2001,9,2001,9.74,16
9/20/2001,9,2001,9.35,
9/21/2001,9,2001,8.75,
9/22/2001,9,2001,9.29,
9/23/2001,9,2001,9.28,7
9/24/2001,9,2001,9.33,
9/25/2001,9,2001,8.75,
9/26/2001,9,2001,8.25,
9/27/2001,9,2001,8.41,
9/28/2001,9,2001,8.47,
9/29/2001,9,2001,8.72,
9/30/2001,9,2001,8.52,
10/1/2001,10,2001,8.44,
10/2/2001,10,2001,8.29,
10/3/2001,10,2001,8.58,
10/4/2001,10,2001,8.51,
10/5/2001,10,2001,9.14,
10/6/2001,10,2001,11.55,
10/7/2001,10,2001,11.65,
10/8/2001,10,2001,5.58,
10/9/2001,10,2001,3.79,
10/10/2001,10,2001,7.87,
10/11/2001,10,2001,2.88,
10/12/2001,10,2001,5.57,
10/13/2001,10,2001,11.32,
10/14/2001,10,2001,10.67,
10/15/2001,10,2001,10.86,
10/16/2001,10,2001,10.75,
10/17/2001,10,2001,10.8,
10/18/2001,10,2001,10.97,
10/19/2001,10,2001,11.21,
10/20/2001,10,2001,11.05,
10/21/2001,10,2001,10.69,
10/22/2001,10,2001,10.9,
10/23/2001,10,2001,11.29,
10/24/2001,10,2001,11.55,
10/25/2001,10,2001,11.91,
10/26/2001,10,2001,12.41,
10/27/2001,10,2001,11.96,
10/28/2001,10,2001,12.59,
10/29/2001,10,2001,11.8,
10/30/2001,10,2001,8.5,
10/31/2001,10,2001,11.16,
11/1/2001,11,2001,15.1,
11/2/2001,11,2001,15.05,
11/3/2001,11,2001,15.02,
11/4/2001,11,2001,9.95,
11/5/2001,11,2001,9.97,
11/6/2001,11,2001,12.13,
11/7/2001,11,2001,10.12,
11/8/2001,11,2001,7.52,
11/9/2001,11,2001,8.75,
11/10/2001,11,2001,8.88,
11/11/2001,11,2001,14.08,
11/12/2001,11,2001,15.18,
11/13/2001,11,2001,14.43,
11/14/2001,11,2001,14.84,
11/15/2001,11,2001,15.45,
11/16/2001,11,2001,17.61,
11/17/2001,11,2001,17.73,
11/18/2001,11,2001,17.62,
11/19/2001,11,2001,17.32,
11/20/2001,11,2001,17.15,
11/21/2001,11,2001,17.32,
11/22/2001,11,2001,19.41,
11/23/2001,11,2001,18.31,
11/24/2001,11,2001,15.92,
11/25/2001,11,2001,14.89,
11/26/2001,11,2001,15.27,
11/27/2001,11,2001,16.62,
11/28/2001,11,2001,15.61,
11/29/2001,11,2001,17.99,
11/30/2001,11,2001,19.08,
12/1/2001,12,2001,14.73,
12/2/2001,12,2001,16.08,
12/3/2001,12,2001,16.46,
12/4/2001,12,2001,16.3,
12/5/2001,12,2001,17.52,
12/6/2001,12,2001,18.17,
12/7/2001,12,2001,18.35,
12/8/2001,12,2001,18.24,
12/9/2001,12,2001,18.15,
12/10/2001,12,2001,17.94,
12/11/2001,12,2001,17.61,
12/12/2001,12,2001,16.68,
12/13/2001,12,2001,17.14,
12/14/2001,12,2001,17.3,
12/15/2001,12,2001,17.53,
12/16/2001,12,2001,17.96,
12/17/2001,12,2001,18.48,
12/18/2001,12,2001,16.58,
12/19/2001,12,2001,17.61,
12/20/2001,12,2001,18.56,
12/21/2001,12,2001,18.82,
12/22/2001,12,2001,19.6,
12/23/2001,12,2001,18.78,
12/24/2001,12,2001,18.2,
12/25/2001,12,2001,18.58,
12/26/2001,12,2001,18.05,
12/27/2001,12,2001,17.8,
12/28/2001,12,2001,17.74,
12/29/2001,12,2001,16.28,
12/30/2001,12,2001,18.42,
12/31/2001,12,2001,19.05,
1/1/2002,1,2002,16.97,
1/2/2002,1,2002,17.08,3
1/3/2002,1,2002,17.72,
1/4/2002,1,2002,11.99,2.9
1/5/2002,1,2002,10.66,
1/6/2002,1,2002,19.39,
1/7/2002,1,2002,19.67,2.2
1/8/2002,1,2002,20.24,
1/9/2002,1,2002,20.45,3.9
1/10/2002,1,2002,19.82,
1/11/2002,1,2002,20.19,3.5
1/12/2002,1,2002,18.74,
1/13/2002,1,2002,19.4,
1/14/2002,1,2002,19.42,
1/15/2002,1,2002,19.24,
1/16/2002,1,2002,18.71,5.8
1/17/2002,1,2002,18.62,
1/18/2002,1,2002,19.73,6.6
1/19/2002,1,2002,15.3,
1/20/2002,1,2002,13.95,7.8
1/21/2002,1,2002,13.69,8.3
1/22/2002,1,2002,10.87,
1/23/2002,1,2002,9.26,12
1/24/2002,1,2002,13.88,
1/25/2002,1,2002,15.82,13
1/26/2002,1,2002,15.27,
1/27/2002,1,2002,14.17,
1/28/2002,1,2002,15.57,11
1/29/2002,1,2002,13.76,
1/30/2002,1,2002,12.88,11
1/31/2002,1,2002,15.08,
2/1/2002,2,2002,17.37,13
2/2/2002,2,2002,18.05,
2/3/2002,2,2002,17.75,
2/4/2002,2,2002,17.73,14
2/5/2002,2,2002,18.85,
2/6/2002,2,2002,20.16,12
2/7/2002,2,2002,20.61,
2/8/2002,2,2002,21.2,10
2/9/2002,2,2002,20.89,
2/10/2002,2,2002,20.43,
2/11/2002,2,2002,20.57,8.2
2/12/2002,2,2002,20.58,
2/13/2002,2,2002,20.5,8.4
2/14/2002,2,2002,20.13,
2/15/2002,2,2002,20.01,0.8
2/16/2002,2,2002,19.71,
2/17/2002,2,2002,21.31,
2/18/2002,2,2002,21.35,
2/19/2002,2,2002,21.99,7.4
2/20/2002,2,2002,22.99,3.9
2/21/2002,2,2002,22.61,
2/22/2002,2,2002,23.58,3.3
2/23/2002,2,2002,22.84,
2/24/2002,2,2002,22.31,
2/25/2002,2,2002,21.18,2.4
2/26/2002,2,2002,20.06,
2/27/2002,2,2002,18.54,3.9
2/28/2002,2,2002,16.67,
3/1/2002,3,2002,15.69,2
3/2/2002,3,2002,13.55,
3/3/2002,3,2002,12.78,
3/4/2002,3,2002,14.39,0.1
3/5/2002,3,2002,11.43,
3/6/2002,3,2002,16.04,0.7
3/7/2002,3,2002,11.55,
3/8/2002,3,2002,12.5,0.2
3/9/2002,3,2002,13.44,
3/10/2002,3,2002,13.6,
3/11/2002,3,2002,15.93,
3/12/2002,3,2002,14.28,
3/13/2002,3,2002,15.8,0.2
3/14/2002,3,2002,12.86,0.2
3/15/2002,3,2002,16.58,0.2
3/16/2002,3,2002,16.22,
3/17/2002,3,2002,16.27,
3/18/2002,3,2002,16.66,0.3
3/19/2002,3,2002,14.98,
3/20/2002,3,2002,16.06,0.2
3/21/2002,3,2002,15.45,0.4
3/22/2002,3,2002,15.74,0.4
3/23/2002,3,2002,14.5,
3/24/2002,3,2002,14.78,
3/25/2002,3,2002,10.56,0.2
3/26/2002,3,2002,6.19,
3/27/2002,3,2002,7.22,0.2
3/28/2002,3,2002,8.5,
3/29/2002,3,2002,15.45,0.2
3/30/2002,3,2002,14.7,
3/31/2002,3,2002,14.06,
4/1/2002,4,2002,14.08,0.2
4/2/2002,4,2002,14.05,
4/3/2002,4,2002,14.41,1.4
4/4/2002,4,2002,14.57,
4/5/2002,4,2002,14.71,2.1
4/6/2002,4,2002,13.72,
4/7/2002,4,2002,11.78,
4/8/2002,4,2002,12.9,2.3
4/9/2002,4,2002,13.91,
4/10/2002,4,2002,12.51,1.5
4/11/2002,4,2002,13.24,
4/12/2002,4,2002,9.53,2.3
4/13/2002,4,2002,13.64,
4/14/2002,4,2002,13.34,
4/15/2002,4,2002,14,1.4
4/16/2002,4,2002,13.73,
4/17/2002,4,2002,11.37,0.2
4/18/2002,4,2002,13.1,
4/19/2002,4,2002,9.39,
4/20/2002,4,2002,10.77,
4/21/2002,4,2002,11.41,
4/22/2002,4,2002,8.33,0.3
4/23/2002,4,2002,4.2,
4/24/2002,4,2002,11.01,0.4
4/25/2002,4,2002,11.96,
4/26/2002,4,2002,12.48,0.2
4/27/2002,4,2002,10.73,
4/28/2002,4,2002,12.51,
4/29/2002,4,2002,10.8,0.2
4/30/2002,4,2002,1.88,
10/1/2002,10,2002,0,
10/2/2002,10,2002,0,
10/3/2002,10,2002,0,
10/4/2002,10,2002,0,
10/5/2002,10,2002,0,
10/6/2002,10,2002,0,
10/7/2002,10,2002,0,
10/8/2002,10,2002,0,
10/9/2002,10,2002,0,
10/10/2002,10,2002,0,
10/11/2002,10,2002,0.64,
10/12/2002,10,2002,3.06,
10/13/2002,10,2002,3.69,
10/14/2002,10,2002,4.11,
10/15/2002,10,2002,4.94,0.3
10/16/2002,10,2002,5.29,
10/17/2002,10,2002,5.72,
10/18/2002,10,2002,5.72,
10/19/2002,10,2002,5.87,
10/20/2002,10,2002,5.99,
10/21/2002,10,2002,5.82,
10/22/2002,10,2002,5.72,
10/23/2002,10,2002,5.51,
10/24/2002,10,2002,5.45,0.3
10/25/2002,10,2002,5.21,
10/26/2002,10,2002,5.52,
10/27/2002,10,2002,5.7,
10/28/2002,10,2002,5.7,
10/29/2002,10,2002,6.25,
10/30/2002,10,2002,6.31,
10/31/2002,10,2002,6.05,
11/1/2002,11,2002,5.97,
11/2/2002,11,2002,10.82,
11/3/2002,11,2002,10.89,
11/4/2002,11,2002,10.8,
11/5/2002,11,2002,10.62,
11/6/2002,11,2002,8.15,
11/7/2002,11,2002,10.28,
11/8/2002,11,2002,9.79,
11/9/2002,11,2002,11.13,
11/10/2002,11,2002,11.16,
11/11/2002,11,2002,11.34,
11/12/2002,11,2002,10.51,
11/13/2002,11,2002,10.4,
11/14/2002,11,2002,11.56,
11/15/2002,11,2002,11.32,
11/16/2002,11,2002,10.92,
11/17/2002,11,2002,10.12,
11/18/2002,11,2002,10.76,
11/19/2002,11,2002,6.68,
11/20/2002,11,2002,9.82,0.4
11/21/2002,11,2002,10.09,
11/22/2002,11,2002,11.07,
11/23/2002,11,2002,8.72,
11/24/2002,11,2002,7.87,
11/25/2002,11,2002,10.98,
11/26/2002,11,2002,13.18,
11/27/2002,11,2002,14.04,
11/28/2002,11,2002,14.22,
11/29/2002,11,2002,13.13,
11/30/2002,11,2002,13.98,
12/1/2002,12,2002,15.19,
12/2/2002,12,2002,14.63,
12/3/2002,12,2002,15.09,
12/4/2002,12,2002,15.13,
12/5/2002,12,2002,15.46,
12/6/2002,12,2002,15.67,
12/7/2002,12,2002,15.44,
12/8/2002,12,2002,15.16,
12/9/2002,12,2002,15.34,
12/10/2002,12,2002,15.71,
12/11/2002,12,2002,15.56,1.3
12/12/2002,12,2002,15.83,
12/13/2002,12,2002,16.75,
12/14/2002,12,2002,16.66,
12/15/2002,12,2002,16.47,
12/16/2002,12,2002,20.14,
12/17/2002,12,2002,24.82,
12/18/2002,12,2002,24.61,
12/19/2002,12,2002,24.74,
12/20/2002,12,2002,24.03,
12/21/2002,12,2002,23.87,
12/22/2002,12,2002,23.93,
12/23/2002,12,2002,24.27,
12/24/2002,12,2002,24.37,
12/25/2002,12,2002,24.31,
12/26/2002,12,2002,24.3,
12/27/2002,12,2002,24.22,
12/28/2002,12,2002,24.17,
12/29/2002,12,2002,24.22,
12/30/2002,12,2002,23.96,
12/31/2002,12,2002,24.16,
1/1/2003,1,2003,19.7,
1/2/2003,1,2003,19.94,
1/3/2003,1,2003,12.94,
1/4/2003,1,2003,19.04,
1/5/2003,1,2003,17.42,
1/6/2003,1,2003,19.23,
1/7/2003,1,2003,18.73,
1/8/2003,1,2003,20.07,
1/9/2003,1,2003,19.58,
1/10/2003,1,2003,20.25,
1/11/2003,1,2003,19.88,
1/12/2003,1,2003,20.06,
1/13/2003,1,2003,18.44,
1/14/2003,1,2003,18.82,
1/15/2003,1,2003,17.52,
1/16/2003,1,2003,19.01,0.2
1/17/2003,1,2003,19.61,
1/18/2003,1,2003,19.42,
1/19/2003,1,2003,19.61,
1/20/2003,1,2003,18.2,
1/21/2003,1,2003,19.82,
1/22/2003,1,2003,19.47,
1/23/2003,1,2003,19.76,
1/24/2003,1,2003,19.55,
1/25/2003,1,2003,19.16,
1/26/2003,1,2003,19.47,
1/27/2003,1,2003,17.74,
1/28/2003,1,2003,17.04,
1/29/2003,1,2003,19.96,
1/30/2003,1,2003,24.13,
1/31/2003,1,2003,23.86,
2/1/2003,2,2003,19.62,
2/2/2003,2,2003,19.94,
2/3/2003,2,2003,19.81,
2/4/2003,2,2003,19.84,
2/5/2003,2,2003,19.3,
2/6/2003,2,2003,19.5,
2/7/2003,2,2003,19.28,
2/8/2003,2,2003,18.55,
2/9/2003,2,2003,19.21,
2/10/2003,2,2003,17.5,5.2
2/11/2003,2,2003,19.49,
2/12/2003,2,2003,16.51,
2/13/2003,2,2003,18.39,
2/14/2003,2,2003,17.83,
2/15/2003,2,2003,17.83,
2/16/2003,2,2003,17.59,
2/17/2003,2,2003,17.07,
2/18/2003,2,2003,16.14,
2/19/2003,2,2003,17.32,
2/20/2003,2,2003,17.39,
2/21/2003,2,2003,17.19,
2/22/2003,2,2003,17.23,
2/23/2003,2,2003,17.08,
2/24/2003,2,2003,17.13,
2/25/2003,2,2003,17.07,
2/26/2003,2,2003,16.78,
2/27/2003,2,2003,16.25,
2/28/2003,2,2003,15.86,
3/1/2003,3,2003,16.01,
3/2/2003,3,2003,16.25,
3/3/2003,3,2003,14.39,
3/4/2003,3,2003,12.47,
3/5/2003,3,2003,12.81,
3/6/2003,3,2003,11.51,
3/7/2003,3,2003,9.6,
3/8/2003,3,2003,9.72,
3/9/2003,3,2003,9.62,
3/10/2003,3,2003,10.26,9.6
3/11/2003,3,2003,7.96,
3/12/2003,3,2003,10.12,
3/13/2003,3,2003,10.47,
3/14/2003,3,2003,10.28,
3/15/2003,3,2003,10.82,
3/16/2003,3,2003,11.02,
3/17/2003,3,2003,10.66,
3/18/2003,3,2003,10.91,
3/19/2003,3,2003,10.97,
3/20/2003,3,2003,10.9,
3/21/2003,3,2003,10.86,
3/22/2003,3,2003,12.67,
3/23/2003,3,2003,10.61,
3/24/2003,3,2003,10.75,
3/25/2003,3,2003,10.31,
3/26/2003,3,2003,10.55,
3/27/2003,3,2003,10.25,
3/28/2003,3,2003,9.58,
3/29/2003,3,2003,9.02,
3/30/2003,3,2003,9.54,
3/31/2003,3,2003,8.61,
4/1/2003,4,2003,10.06,
4/2/2003,4,2003,10.09,
4/3/2003,4,2003,10.24,
4/4/2003,4,2003,9.91,
4/5/2003,4,2003,9.35,
4/6/2003,4,2003,10.13,
4/7/2003,4,2003,9.28,
4/8/2003,4,2003,8.12,
4/9/2003,4,2003,8.28,2.6
4/10/2003,4,2003,8.77,
4/11/2003,4,2003,7.88,
4/12/2003,4,2003,4.88,
4/13/2003,4,2003,9,
4/14/2003,4,2003,6.93,
4/15/2003,4,2003,5.78,
4/16/2003,4,2003,5,
4/17/2003,4,2003,3.9,
4/18/2003,4,2003,6.11,
4/19/2003,4,2003,5.81,
4/20/2003,4,2003,5.99,
4/21/2003,4,2003,7.2,
4/22/2003,4,2003,10.06,
4/23/2003,4,2003,10.08,
4/24/2003,4,2003,10.35,
4/25/2003,4,2003,10.26,
4/26/2003,4,2003,10.06,
4/27/2003,4,2003,9.37,
4/28/2003,4,2003,10.4,
4/29/2003,4,2003,10.34,
4/30/2003,4,2003,6.15,
6/4/2003,6,2003,2.89,
6/5/2003,6,2003,2.7,
6/6/2003,6,2003,2.4,
6/7/2003,6,2003,3.39,
6/8/2003,6,2003,4.76,0.1
6/9/2003,6,2003,3.41,
6/10/2003,6,2003,2.68,
6/11/2003,6,2003,2.27,
6/12/2003,6,2003,3.05,
6/13/2003,6,2003,3.58,
6/14/2003,6,2003,4.46,
6/15/2003,6,2003,4.64,
6/16/2003,6,2003,4.1,
6/17/2003,6,2003,3.56,
6/18/2003,6,2003,2.02,
6/19/2003,6,2003,2.69,
6/20/2003,6,2003,1.87,
6/21/2003,6,2003,2.8,
6/22/2003,6,2003,3.71,
6/23/2003,6,2003,3.49,
6/24/2003,6,2003,3.56,
11/1/2003,11,2003,22.02,
11/2/2003,11,2003,22.35,
11/3/2003,11,2003,23.15,
11/4/2003,11,2003,23.8,
11/5/2003,11,2003,23.59,0.4
11/6/2003,11,2003,19.59,
11/7/2003,11,2003,17.6,
11/8/2003,11,2003,22.19,
11/9/2003,11,2003,21.81,
11/10/2003,11,2003,22.01,
11/11/2003,11,2003,22.45,
11/12/2003,11,2003,21.88,
11/13/2003,11,2003,21.51,
11/14/2003,11,2003,21.42,
11/15/2003,11,2003,19.75,
11/16/2003,11,2003,16.46,
11/17/2003,11,2003,15.51,
11/18/2003,11,2003,14.75,
11/19/2003,11,2003,17.15,
11/20/2003,11,2003,20.46,
